task,dataset,metric,reference,spear_rho,pear_rho,spear_p,pear_p
intrusions,all,c_v,wikitext_full,0.4051967146366788,0.3997499785209353,2.7808752007756375e-13,6.143116283909501e-13
ratings,wikitext,c_npmi_10,full,0.3746417881860051,0.3671866027297636,2.321635085163233e-06,3.8010827442261718e-06
ratings,wikitext,c_npmi_10,nytimes_full,0.37125107860990303,0.3509552828643011,2.9096173993140503e-06,1.0664831249986468e-05
ratings,wikitext,c_npmi_10,train,0.4212263345136387,0.4299921362886665,7.975560422637712e-08,3.986005484059114e-08
ratings,wikitext,c_npmi_10,val,0.2564223062386214,0.20684461173399907,0.001538202931191978,0.011096238468134139
ratings,wikitext,c_v,full,0.3793252680255446,0.4765899885439326,1.6925456307567899e-06,7.048893341445795e-10
ratings,wikitext,c_v,nytimes_full,0.3016076461103315,0.352490478820011,0.00017630550791757885,9.696623268024648e-06
ratings,wikitext,c_v,train,0.3972787518437882,0.5333341849635856,4.811312139883356e-07,2.116602235241483e-12
ratings,wikitext,c_v,val,0.38198217277670937,0.2777585737693283,1.4116406315329665e-06,0.000578824544986163
ratings,nytimes,c_npmi_10,full,0.35268459141026154,0.25901462323283947,9.580295557539404e-06,0.0013717451541262334
ratings,nytimes,c_npmi_10,train,0.36588764078271935,0.26351380361015264,4.13686189944349e-06,0.001121382792897928
ratings,nytimes,c_npmi_10,val,0.37208569810567,0.27289987485668316,2.7529964350165943e-06,0.0007282036432516135
ratings,nytimes,c_npmi_10,wikitext_full,0.48510324514411185,0.2679602412726773,3.1519013610316193e-10,0.0009157220688389001
ratings,nytimes,c_v,full,0.4139502146149701,0.5079232866960686,1.3975707733556593e-07,3.256893013494007e-11
ratings,nytimes,c_v,train,0.44161009193218964,0.5258655860853063,1.5414245278582595e-08,4.8399509405003036e-12
ratings,nytimes,c_v,val,0.46557662863467647,0.5409522099806446,1.93345927007081e-09,8.913727297713775e-13
ratings,nytimes,c_v,wikitext_full,0.4570168228368316,0.4746858416528173,4.1338713124408025e-09,8.413966148008919e-10
ratings,all,c_npmi_10,full,0.38460304437581,0.30945276220644463,5.165273625146812e-12,4.439527673832524e-08
ratings,all,c_npmi_10,nytimes_full,0.38128633592625244,0.29028317937705794,8.115683306877373e-12,3.0965365059149155e-07
ratings,all,c_npmi_10,train,0.4511613098353151,0.35511705078865036,1.894719565963473e-16,2.4086908955221787e-10
ratings,all,c_npmi_10,val,0.34388425305178405,0.19584098359507687,9.41595593892772e-10,0.000647266523726935
ratings,all,c_npmi_10,wikitext_full,0.4382016239333717,0.34241521877401915,1.6578255606689053e-15,1.1209270693764274e-09
ratings,all,c_v,full,0.4224506313660597,0.5294550053770712,2.0492036750802203e-14,4.4723866813300695e-23
