task,dataset,metric,reference,coef,se,p,bic,ci_0.025,ci_0.975
intrusions,wikitext,c_v,nytimes_full,2.229189359793501,0.2362714464146433,3.914955430143199e-21,4522.892931389992,1.7661058342456148,2.6922728853413873
intrusions,wikitext,c_v,test,2.9004466505025834,0.25770479440764227,2.1902663241542146e-29,4485.197817139564,2.3953545348203056,3.4055387661848613
intrusions,wikitext,c_v,train,2.7407529672763786,0.24175509816207252,8.614373522692916e-30,4484.294997562822,2.2669216817997713,3.214584252752986
intrusions,wikitext,c_v,val,0.6993358465202663,0.13735623201318384,3.5542485128832897e-07,4589.17699753279,0.4301225787222983,0.9685491143182342
intrusions,wikitext,u_mass,full,0.09628378647848203,0.056437410276019326,0.08800291830107136,4612.0107102356715,-0.014331505043226597,0.20689907800019064
intrusions,nytimes,c_npmi_10,full,2.4220462932269613,0.3230971493762228,6.562411136105814e-14,4715.924670977134,1.7887875169420067,3.055305069511916
intrusions,nytimes,c_npmi_10,test,2.4178736491719817,0.3225414549378234,6.563492469992353e-14,4715.943544754809,1.785704013972699,3.0500432843712644
intrusions,nytimes,c_npmi_10,train,2.113955550622542,0.3056780871321548,4.657994079734633e-12,4725.375952335224,1.5148375089804222,2.713073592264662
intrusions,nytimes,c_npmi_10,val,1.9657000327147527,0.3113664918973355,2.7343118850802207e-10,4734.029181250231,1.3554329226033925,2.575967142826113
intrusions,nytimes,c_npmi_10,wikitext_full,4.161371290740252,0.3737644499105134,8.601620031339558e-29,4628.973457404254,3.428806430214221,4.893936151266283
intrusions,nytimes,c_uci,full,0.23020262433563493,0.027177670494532458,2.4479260926449972e-17,4701.289902077715,0.17693536898265444,0.2834698796886154
intrusions,nytimes,c_v,full,2.503865487391431,0.2129861627215573,6.5776780657097e-32,4634.5039976452335,2.0864202792517914,2.9213106955310706
intrusions,nytimes,c_v,test,2.498806773718053,0.21230782366412085,5.589998493975817e-32,4634.128988908735,2.0826910857002954,2.9149224617358103
intrusions,nytimes,c_v,train,2.5486192973614608,0.20989072766612438,6.279779917110455e-34,4624.045657536422,2.137241030446952,2.9599975642759695
intrusions,nytimes,c_v,val,2.404436941796302,0.2076817023252843,5.357992728990433e-31,4638.217174932435,1.9973882849907763,2.8114855986018275
intrusions,nytimes,c_v,wikitext_full,3.269944986595005,0.2196044219543473,3.818544461502435e-50,4539.337271277584,2.839528228718747,3.700361744471263
intrusions,nytimes,u_mass,full,0.09687021758430509,0.03950682983297753,0.014206995019452199,4770.312444367465,0.01943825396831657,0.17430218120029362
intrusions,all,c_npmi_10,full,3.302310241141309,0.26991487805776043,2.030132825000691e-34,9218.150079832061,2.773286801256578,3.83133368102604
intrusions,all,c_npmi_10,nytimes_full,2.8183805777385946,0.2604312017982155,2.7086930490657768e-27,9254.393686417225,2.3079448017636093,3.32881635371358
intrusions,all,c_npmi_10,test,3.399192828621348,0.27460494690648807,3.4173865327710245e-35,9213.895452077073,2.8609770227080977,3.9374086345345987
intrusions,all,c_npmi_10,train,3.1830253398348014,0.26022264345324736,2.098897731518292e-34,9218.587875180468,2.6729983307046288,3.693052348964974
intrusions,all,c_npmi_10,val,0.7828984464431904,0.17805309315113055,1.0976019568540176e-05,9361.389265120544,0.43392079653101917,1.1318760963553616
intrusions,all,c_npmi_10,wikitext_full,4.563022513761451,0.292982646231795,1.087051156397657e-54,9103.146056667649,3.9887870790518933,5.137257948471009
intrusions,all,c_uci,full,0.2708078215497579,0.021391381597326127,9.891487214228508e-37,9209.363024644692,0.2288814840394458,0.31273415906007
intrusions,all,c_v,full,2.6319101382048014,0.16292233348108376,1.0576774820771153e-58,9113.767749695355,2.312588232304653,2.9512320441049495
intrusions,all,c_v,nytimes_full,2.2950446145846373,0.15662945411619528,1.294643411899763e-48,9160.57794370299,1.9880565255987257,2.602032703570549
intrusions,all,c_v,test,2.6684338721592322,0.16407845980787142,1.8020616692893868e-59,9109.805356251398,2.3468460002970013,2.990021744021463
intrusions,all,c_v,train,2.6425211027954343,0.15795983887445633,8.048604649051825e-63,9094.123453650733,2.33292550759775,2.9521166979931186
intrusions,all,c_v,val,0.8681937498293577,0.1004843170133181,5.616774246516733e-18,9306.887383021336,0.6712481074721488,1.0651393921865666
intrusions,all,c_v,wikitext_full,3.0534916397812983,0.16346659383854786,7.255206838302112e-78,9016.809698302097,2.7331030031823076,3.373880276380289
intrusions,all,u_mass,full,0.0862771674715035,0.03226598342347989,0.007496680646865624,9373.859862701824,0.023037002035716528,0.14951733290729047
