dataset,model,topic_idx,human_idx,c_npmi_10_full,c_npmi_10_nytimes_full,c_npmi_10_test,c_npmi_10_train,c_npmi_10_val,c_uci_full,c_v_full,c_v_nytimes_full,c_v_test,c_v_train,c_v_val,u_mass_full,scores_raw,confidences_raw,c_npmi_10_wikitext_full,c_v_wikitext_full,task
wikitext,mallet,3,0,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,3,1,,,ratings
wikitext,mallet,3,1,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,3,1,,,ratings
wikitext,mallet,3,2,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,2,1,,,ratings
wikitext,mallet,3,3,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,3,1,,,ratings
wikitext,mallet,3,4,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,3,1,,,ratings
wikitext,mallet,3,5,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,3,1,,,ratings
wikitext,mallet,3,6,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,3,1,,,ratings
wikitext,mallet,3,7,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,2,1,,,ratings
wikitext,mallet,3,8,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,2,1,,,ratings
wikitext,mallet,3,9,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,2,1,,,ratings
wikitext,mallet,3,10,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,2,1,,,ratings
wikitext,mallet,3,11,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,3,1,,,ratings
wikitext,mallet,3,12,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,2,1,,,ratings
wikitext,mallet,3,13,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,3,1,,,ratings
wikitext,mallet,3,14,0.1205121438,0.1013257218,0.1154432205,0.1361112275,0.0583770448,1.0394537088,0.6024771511,0.5806348555,0.5992090187,0.6360409558,0.5873894872,-2.386004734,3,1,,,ratings
wikitext,mallet,4,0,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,4,1,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
wikitext,mallet,4,2,0.2343654945,0.1253139496,0.2351592514,0.2312815608,0.2239090597,1.8956463035,0.8643755663,0.6885975063,0.8659581036,0.8526951656,0.8693072677,-1.3294625375,3,1,,,ratings
